City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Warri,NG,2020-02-23 05:05:21,5.52,5.75,79.79,87,90,1.57
70,Atuona,PF,2020-02-23 05:04:28,-9.8,-139.03,81.86,75,0,13.65
71,Lebu,CL,2020-02-23 05:04:42,-37.62,-73.65,49.73,95,3,1.99
72,Norman Wells,CA,2020-02-23 05:04:26,65.28,-126.83,3.2,91,75,3.36
73,Terenos,BR,2020-02-23 05:05:22,-20.44,-54.86,68.0,68,0,6.93
74,Bonavista,CA,2020-02-23 05:05:22,48.65,-53.11,28.0,86,45,8.99
75,Butaritari,KI,2020-02-23 05:04:37,3.07,172.79,84.72,76,22,9.73
76,Cherskiy,RU,2020-02-23 05:04:22,68.75,161.3,-20.87,97,95,5.99
77,Nome,US,2020-02-23 05:05:23,64.5,-165.41,-9.4,91,75,4.92
78,Berbera,SO,2020-02-23 05:05:23,10.44,45.01,79.25,64,64,10.09
79,Jamestown,US,2020-02-23 05:04:43,42.1,-79.24,37.4,79,1,10.29
80,Ribeira Grande,PT,2020-02-23 05:04:28,38.52,-28.7,53.46,82,4,9.78
81,Krasnogorodsk,RU,2020-02-23 05:05:24,56.83,28.28,36.03,79,81,14.58
82,Berlevag,NO,2020-02-23 05:05:24,70.86,29.09,33.39,77,0,13.56
83,East London,ZA,2020-02-23 05:04:32,-33.02,27.91,60.8,77,96,12.75
84,Dongsheng,CN,2020-02-23 05:05:24,39.82,109.98,47.44,21,0,5.73
85,Tolaga Bay,NZ,2020-02-23 05:05:25,-38.37,178.3,65.25,82,66,25.26
86,Librazhd,AL,2020-02-23 05:05:25,41.18,20.32,30.2,85,40,5.82
87,Zhangjiakou,CN,2020-02-23 05:03:57,40.81,114.88,36.25,26,0,5.23
88,Castro,BR,2020-02-23 05:04:16,-24.79,-50.01,55.99,88,88,7.56
89,Crateus,BR,2020-02-23 05:05:26,-5.18,-40.68,70.34,98,100,2.37
90,Kyren,RU,2020-02-23 05:05:26,51.68,102.14,12.72,85,100,4.43
91,Jalingo,NG,2020-02-23 05:05:26,8.88,11.37,73.58,16,0,7.92
92,Gresik,ID,2020-02-23 05:05:26,-7.15,112.66,87.76,69,10,9.28
93,Saint-Philippe,RE,2020-02-23 05:04:21,-21.36,55.77,79.0,65,100,5.82
94,San Patricio,MX,2020-02-23 05:05:27,19.22,-104.7,75.33,81,0,5.44
95,Tura,IN,2020-02-23 05:05:27,25.52,90.22,88.77,26,88,4.09
96,Vao,NC,2020-02-23 05:05:27,-22.67,167.48,79.11,76,36,14.27
97,Borgarnes,IS,2020-02-23 05:05:27,64.54,-21.92,30.2,92,75,6.93
98,Puerto Ayora,EC,2020-02-23 05:04:46,-0.74,-90.35,75.99,100,68,1.01
99,Khatanga,RU,2020-02-23 05:05:28,71.97,102.5,13.98,77,100,16.46
100,Souillac,MU,2020-02-23 05:05:23,-20.52,57.52,82.0,88,40,7.0
101,Vestmannaeyjar,IS,2020-02-23 05:04:49,63.44,-20.27,32.0,59,20,12.75
102,Northam,GB,2020-02-23 05:05:28,51.03,-4.22,55.0,95,100,15.99
103,Kuldiga,LV,2020-02-23 05:05:28,56.97,21.96,41.0,86,40,25.28
104,Fortuna,US,2020-02-23 05:05:29,40.6,-124.16,50.0,87,90,3.38
105,Bethel,US,2020-02-23 05:01:42,41.37,-73.41,34.0,78,5,5.82
106,Petropavlovsk-Kamchatskiy,RU,2020-02-23 05:04:24,53.05,158.65,23.0,35,3,0.92
107,Sarakhs,IR,2020-02-23 05:02:04,36.54,61.16,44.6,93,40,6.93
108,Saskylakh,RU,2020-02-23 05:05:29,71.92,114.08,9.19,93,100,10.71
109,Ponta Delgada,PT,2020-02-23 05:04:32,37.73,-25.67,57.2,82,75,7.47
110,Srednekolymsk,RU,2020-02-23 05:05:30,67.45,153.68,-25.04,100,50,0.98
111,Tabuk,PH,2020-02-23 05:05:30,17.42,121.44,67.21,89,100,1.57
112,Hermanus,ZA,2020-02-23 05:04:16,-34.42,19.23,64.0,83,0,5.99
113,Namibe,AO,2020-02-23 05:04:44,-15.2,12.15,75.02,77,76,11.77
114,San Lorenzo,PY,2020-02-23 05:05:31,-25.33,-57.53,64.4,63,0,6.93
115,Jalu,LY,2020-02-23 05:04:39,29.03,21.55,51.62,67,24,11.43
116,Lasa,IT,2020-02-23 05:04:34,46.62,10.7,37.0,74,5,5.82
117,Paita,PE,2020-02-23 05:05:32,-5.09,-81.11,78.04,69,100,4.41
118,Maroantsetra,MG,2020-02-23 05:05:32,-15.43,49.73,72.75,91,100,0.47
119,Chuy,UY,2020-02-23 05:04:26,-33.7,-53.46,58.23,90,0,3.38
120,Santa Maria,BR,2020-02-23 05:04:34,-29.68,-53.81,53.87,86,0,4.88
121,Wajima,JP,2020-02-23 05:05:32,37.4,136.9,42.8,48,75,18.34
122,Hun,LY,2020-02-23 05:01:27,29.13,15.95,50.67,75,22,11.88
123,Olafsvik,IS,2020-02-23 05:05:33,64.89,-23.71,31.26,64,93,20.83
124,Tasiilaq,GL,2020-02-23 05:04:41,65.61,-37.64,14.0,72,0,1.12
125,Pevek,RU,2020-02-23 05:04:14,69.7,170.31,-10.62,98,100,7.54
126,Salym,RU,2020-02-23 05:05:33,60.06,71.48,16.41,94,65,9.1
127,Pisco,PE,2020-02-23 05:05:34,-13.7,-76.22,73.4,88,90,8.05
128,Ezerelis,LT,2020-02-23 05:05:34,54.88,23.62,39.2,69,75,20.8
129,Haines Junction,CA,2020-02-23 05:04:49,60.75,-137.51,4.1,89,42,4.79
130,Guerrero Negro,MX,2020-02-23 05:05:34,27.98,-114.06,58.08,75,91,13.49
131,Belaya Gora,RU,2020-02-23 05:04:50,68.53,146.42,-15.23,100,92,0.96
132,Constitucion,CL,2020-02-23 05:04:45,-35.33,-72.42,50.65,90,8,2.42
133,Minggang,CN,2020-02-23 05:05:35,32.46,114.05,64.36,52,50,13.4
134,Katsuura,JP,2020-02-23 05:05:35,35.13,140.3,63.0,36,20,18.34
135,Fairbanks,US,2020-02-23 05:05:35,64.84,-147.72,8.6,71,90,9.17
136,Namatanai,PG,2020-02-23 05:05:35,-3.67,152.43,85.93,73,98,12.71
137,Gat,IL,2020-02-23 05:04:30,31.61,34.76,52.0,81,75,6.93
138,Arman,RU,2020-02-23 05:05:36,59.7,150.17,1.45,91,100,2.82
139,Bilibino,RU,2020-02-23 05:04:55,68.05,166.44,-25.38,99,99,1.72
140,Tuatapere,NZ,2020-02-23 05:05:36,-46.13,167.68,61.0,73,27,20.0
141,Yellowknife,CA,2020-02-23 05:00:34,62.46,-114.35,-4.0,76,40,5.82
142,Veraval,IN,2020-02-23 05:05:37,20.9,70.37,90.81,16,0,11.21
143,Valdivia,CL,2020-02-23 05:03:51,-39.81,-73.25,52.3,79,0,1.5
144,Vaasa,FI,2020-02-23 05:05:37,63.08,21.67,33.8,86,73,14.99
145,Peniche,PT,2020-02-23 05:05:37,39.36,-9.38,61.0,66,14,4.7
146,Moyale,KE,2020-02-23 05:05:38,3.52,39.06,80.04,36,69,12.24
147,Bandar-E Lengeh,IR,2020-02-23 05:05:38,26.56,54.88,69.8,94,0,6.93
148,Linxia,CN,2020-02-23 05:05:38,35.6,103.21,46.22,21,63,4.99
149,Ukiah,US,2020-02-23 05:04:51,39.15,-123.21,52.0,95,0,5.21
150,Coihaique,CL,2020-02-23 05:05:39,-45.58,-72.07,62.6,36,31,3.36
151,Ambilobe,MG,2020-02-23 05:05:39,-13.2,49.05,84.56,72,20,1.99
152,Yar-Sale,RU,2020-02-23 05:05:39,66.83,70.83,23.16,92,83,13.85
153,Mackay,AU,2020-02-23 05:05:39,-21.15,149.2,82.4,83,90,12.75
154,Hua Hin,TH,2020-02-23 05:03:35,12.57,99.96,86.0,51,20,16.11
155,Binabalian,PH,2020-02-23 05:05:40,16.42,119.93,77.14,73,1,11.36
156,Hambantota,LK,2020-02-23 05:04:47,6.12,81.12,84.2,83,40,17.22
157,Gusau,NG,2020-02-23 05:05:41,12.16,6.66,70.7,15,17,18.28
158,Kaitangata,NZ,2020-02-23 05:05:41,-46.28,169.85,56.5,79,70,20.0
159,Saldanha,ZA,2020-02-23 05:04:16,-33.01,17.94,64.4,59,0,11.41
160,Bathsheba,BB,2020-02-23 05:01:45,13.22,-59.52,77.0,83,20,5.82
161,North Platte,US,2020-02-23 05:05:42,41.12,-100.77,34.0,32,1,3.15
162,Caiaponia,BR,2020-02-23 05:05:42,-16.96,-51.81,67.8,97,99,1.12
163,Ketchikan,US,2020-02-23 05:05:42,55.34,-131.65,41.0,86,90,10.29
164,Quarai,BR,2020-02-23 05:05:42,-30.39,-56.45,56.14,67,0,7.27
165,Cap Malheureux,MU,2020-02-23 05:01:06,-19.98,57.61,82.0,88,40,11.81
166,Lagoa,PT,2020-02-23 05:03:03,39.05,-27.98,58.6,75,0,12.48
